cncode;commodity;cncode_active
1701 12 10;2;1
1701 12 90;2;1
1701 13 10;2;1
1701 13 90;2;1
1701 14 10;2;1
1701 14 90;2;1
1701 91 00;2;1
1701 99 10;2;1
1701 99 90;2;1
1702 11 00;2;1
1702 19 00;2;1
1702 20 10;2;1
1702 20 90;2;1
1702 30 10;2;1
1702 30 50;2;1
1702 30 90;2;1
1702 40 10;2;1
1702 40 90;2;1
1702 50 00;2;1
1702 60 10;2;1
1702 60 80;2;1
1702 60 95;2;1
1702 90 10;2;1
1702 90 30;2;1
1702 90 50;2;1
1702 90 71;2;1
1702 90 75;2;1
1702 90 79;2;1
1702 90 80;2;1
1702 90 95;2;1
ex1001 99 00;3;1
1001 99 00;3;1
1005 90 00;3;1
1101 00 15;3;1
1101 00 90;3;1
1102 20 10;3;1
1102 90 90;3;1
1103 11 90;3;1
1103 13 10;3;1
1103 13 90;3;1
1103 20 40;3;1
1103 20 60;3;1
1104 23 40;3;1
1104 23 98;3;1
1003 90 00;3;1
1102 90 10;3;1
1103 20 25 90;3;1
0203 11 10;10;1
0203 19 13;10;1
0203 21 10;10;1
0203 29 13;10;1
0203 12 11;10;1
0203 19 15;10;1
0203 22 11;10;1
0203 29 15;10;1
0203 12 19;10;1
0203 19 55;10;1
0203 22 19;10;1
0203 29 55;10;1
0203 19 11;10;1
0203 19 59;10;1
0203 29 11;10;1
0203 29 59;10;1
0203 19 55 15;10;1
0203 19 55 25;10;1
0203 19 55 30;10;1
0203 29 55 20;10;1
0203 29 55 30;10;1
0203 29 55 92;10;1
1602 50 10;8;1
1602 50 31;8;1
1602 50 95;8;1
0102 29 51;8;1
0102 29 59;8;1
0102 29 91;8;1
0102 29 99;8;1
0201 10 00        ;8;1
0201 20 20;8;1
0201 20 30;8;1
0201 20 50;8;1
0201 20 90;8;1
0201 30 00;8;1
0202 10 00;8;1
0202 20 10;8;1
0202 20 30;8;1
0202 20 50;8;1
0202 20 90;8;1
0202 30 50;8;1
0202 30 90     ;8;1
0202 30 10;8;1
0206 10 95;8;1
0206 10 95;8;1
0206 29 91;8;1
0206 29 91;8;1
0210 20 10;8;1
0210 20 90;8;1
0210 99 51;8;1
0210 99 59;8;1
ex1502 10 90;8;1
ex1502 90 90;8;1
0401 10 10;12;1
0401 10 90;12;1
0401 20 11;12;1
0401 20 19;12;1
0401 20 91;12;1
0401 20 99;12;1
0401 40 10;12;1
0401 40 90;12;1
0401 50 11;12;1
0401 50 19;12;1
0401 50 31;12;1
0401 50 39;12;1
0401 50 91;12;1
0401 50 99;12;1
0402 10 11;12;1
0402 10 19;12;1
0402 10 91;12;1
0402 10 99;12;1
0402 21 11;12;1
0402 21 18;12;1
0402 21 91;12;1
0402 21 99;12;1
0402 29 11;12;1
0402 29 15;12;1
0402 29 19;12;1
0402 29 91;12;1
0402 29 99;12;1
0402 91 10;12;1
0402 91 30;12;1
0402 91 51;12;1
0402 91 59;12;1
0402 91 91;12;1
0402 91 99;12;1
0402 99 10;12;1
0402 99 31;12;1
0402 99 39;12;1
0402 99 91;12;1
0402 99 99;12;1
0403 10 11;12;1
0403 10 13;12;1
0403 10 19;12;1
0403 10 31;12;1
0403 10 33;12;1
0403 10 39;12;1
0403 10 51;12;1
0403 10 53;12;1
0403 10 59;12;1
0403 10 91;12;1
0403 10 93;12;1
0403 10 99;12;1
0403 90 11;12;1
0403 90 13;12;1
0403 90 19;12;1
0403 90 31;12;1
0403 90 33;12;1
0403 90 39;12;1
0403 90 51;12;1
0403 90 53;12;1
0403 90 59;12;1
0403 90 61;12;1
0403 90 63;12;1
0403 90 69;12;1
0404 10 02;12;1
0404 10 04;12;1
0404 10 06;12;1
0404 10 12;12;1
0404 10 14;12;1
0404 10 16;12;1
0404 10 26;12;1
0404 10 28;12;1
0404 10 32;12;1
0404 10 34;12;1
0404 10 36;12;1
0404 10 38;12;1
0404 10 48;12;1
0404 10 52;12;1
0404 10 54;12;1
0404 10 56;12;1
0404 10 58;12;1
0404 10 62;12;1
0404 10 72;12;1
0404 10 74;12;1
0404 10 76;12;1
0404 10 78;12;1
0404 10 82;12;1
0404 10 84;12;1
0404 90 21;12;1
0404 90 23;12;1
0404 90 29;12;1
0404 90 81;12;1
0404 90 83;12;1
0404 90 89;12;1
0405 10 11;12;1
0405 10 19;12;1
0405 10 30;12;1
0405 10 50;12;1
0405 10 90;12;1
0405 20 10;12;1
0405 20 30;12;1
0405 20 90;12;1
0405 90 10;12;1
0405 90 90;12;1
ex0406 10 50;12;1
0406 10 30;12;1
0406 10 50 10;12;1
0406 10 50;12;1
0406 10 80;12;1
0406 20 00;12;1
0406 30 10;12;1
0406 30 31;12;1
0406 30 39;12;1
0406 30 90;12;1
0406 40 10;12;1
0406 40 50;12;1
0406 40 90;12;1
0406 90 01;12;1
0406 90 13;12;1
0406 90 15;12;1
0406 90 17;12;1
0406 90 18;12;1
0406 90 21;12;1
0406 90 21 20;12;1
0406 90 23;12;1
0406 90 25;12;1
0406 90 29;12;1
0406 90 32;12;1
0406 90 35;12;1
0406 90 37;12;1
0406 90 39;12;1
0406 90 50;12;1
0406 90 61;12;1
0406 90 63;12;1
0406 90 69;12;1
0406 90 73;12;1
0406 90 74;12;1
0406 90 75;12;1
0406 90 76;12;1
0406 90 78;12;1
0406 90 79;12;1
0406 90 81;12;1
0406 90 82;12;1
0406 90 84;12;1
0406 90 85;12;1
0406 90 86;12;1
0406 90 89;12;1
0406 90 92;12;1
0406 90 93;12;1
0406 90 99;12;1
0207 11 10;9;1
0207 11 30;9;1
0207 11 90;9;1
0207 12 10;9;1
0207 12 90;9;1
0207 13 10;9;1
0207 13 20;9;1
0207 13 30;9;1
0207 13 40;9;1
0207 13 50;9;1
0207 13 60;9;1
0207 13 70;9;1
0207 13 99;9;1
0207 14 10;9;1
0207 14 20;9;1
0207 14 30;9;1
0207 14 40;9;1
0207 14 50;9;1
0207 14 60;9;1
0207 14 70;9;1
0207 14 99;9;1
0207 24 10;9;1
0207 24 90;9;1
0207 25 10;9;1
0207 25 90;9;1
0207 26 10;9;1
0207 26 20;9;1
0207 26 30;9;1
0207 26 40;9;1
0207 26 50;9;1
0207 26 60;9;1
0207 26 70;9;1
0207 26 80;9;1
0207 26 99;9;1
0207 27 10;9;1
0207 27 20;9;1
0207 27 30;9;1
0207 27 40;9;1
0207 27 50;9;1
0207 27 60;9;1
0207 27 70;9;1
0207 27 80;9;1
0207 27 99;9;1
0207 41 30;9;1
0207 41 80;9;1
0207 42 30;9;1
0207 42 80;9;1
0207 44 10;9;1
0207 44 21;9;1
0207 44 31;9;1
0207 44 41;9;1
0207 44 51;9;1
0207 44 61;9;1
0207 44 71;9;1
0207 44 81;9;1
0207 44 99;9;1
0207 45 10;9;1
0207 45 21;9;1
0207 45 31;9;1
0207 45 41;9;1
0207 45 51;9;1
0207 45 61;9;1
0207 45 81;9;1
0207 45 99;9;1
0207 51 10;9;1
0207 51 90;9;1
0207 52 90;9;1
0207 54 10;9;1
0207 54 21;9;1
0207 54 31;9;1
0207 54 41;9;1
0207 54 51;9;1
0207 54 61;9;1
0207 54 71;9;1
0207 54 81;9;1
0207 54 99;9;1
0207 55 10;9;1
0207 55 21;9;1
0207 55 31;9;1
0207 55 41;9;1
0207 55 51;9;1
0207 55 61;9;1
0207 55 81;9;1
0207 55 99;9;1
0207 60 05;9;1
0207 60 10;9;1
0207 60 21 10;9;1
0207 60 31;9;1
0207 60 41;9;1
0207 60 51;9;1
0207 60 61;9;1
0207 60 81;9;1
0207 60 99;9;1
0210 99 39 10;9;1
ex0210 99 39;9;1
1602 31 11;9;1
1602 31 19;9;1
1602 31 80;9;1
1602 32 11;9;1
1602 32 19;9;1
1602 32 30;9;1
1602 32 90;9;1
1602 39 21;9;1
1602 39 29;9;1
1602 39 85;9;1
1602 39 85 10;9;1
1602 39 85 90;9;1
